Hit,"Position (x, y) in cm",Timestamp (s)
0,"(None, None)",0.01429
0,"(None, None)",0.02857
0,"(None, None)",0.04286
0,"(None, None)",0.05714
0,"(None, None)",0.07143
0,"(None, None)",0.08571
0,"(None, None)",0.10000
0,"(None, None)",0.11429
0,"(None, None)",0.12857
0,"(None, None)",0.14286
0,"(None, None)",0.15714
0,"(None, None)",0.17143
0,"(None, None)",0.18571
0,"(None, None)",0.20000
0,"(None, None)",0.21429
0,"(None, None)",0.22857
0,"(None, None)",0.24286
0,"(None, None)",0.25714
0,"(None, None)",0.27143
0,"(None, None)",0.28571
0,"(None, None)",0.30000
0,"(None, None)",0.31429
0,"(None, None)",0.32857
0,"(None, None)",0.34286
0,"(None, None)",0.35714
0,"(None, None)",0.37143
0,"(None, None)",0.38571
0,"(None, None)",0.40000
0,"(None, None)",0.41429
0,"(None, None)",0.42857
0,"(None, None)",0.44286
0,"(None, None)",0.45714
0,"(None, None)",0.47143
0,"(None, None)",0.48571
0,"(None, None)",0.50000
0,"(None, None)",0.51429
0,"(None, None)",0.52857
0,"(None, None)",0.54286
0,"(None, None)",0.55714
0,"(None, None)",0.57143
0,"(None, None)",0.58571
0,"(None, None)",0.60000
0,"(None, None)",0.61429
0,"(None, None)",0.62857
0,"(None, None)",0.64286
0,"(None, None)",0.65714
0,"(None, None)",0.67143
0,"(None, None)",0.68571
0,"(None, None)",0.70000
0,"(None, None)",0.71429
0,"(None, None)",0.72857
0,"(None, None)",0.74286
0,"(None, None)",0.75714
0,"(None, None)",0.77143
0,"(None, None)",0.78571
0,"(None, None)",0.80000
0,"(None, None)",0.81429
0,"(None, None)",0.82857
0,"(None, None)",0.84286
0,"(None, None)",0.85714
0,"(None, None)",0.87143
0,"(None, None)",0.88571
0,"(None, None)",0.90000
0,"(None, None)",0.91429
0,"(None, None)",0.92857
0,"(None, None)",0.94286
0,"(None, None)",0.95714
0,"(None, None)",0.97143
0,"(None, None)",0.98571
0,"(None, None)",1.00000
0,"(None, None)",1.01429
0,"(None, None)",1.02857
0,"(None, None)",1.04286
0,"(None, None)",1.05714
0,"(None, None)",1.07143
0,"(None, None)",1.08571
0,"(None, None)",1.10000
0,"(None, None)",1.11429
0,"(None, None)",1.12857
0,"(None, None)",1.14286
0,"(None, None)",1.15714
0,"(None, None)",1.17143
0,"(None, None)",1.18571
0,"(None, None)",1.20000
0,"(None, None)",1.21429
0,"(None, None)",1.22857
0,"(None, None)",1.24286
0,"(None, None)",1.25714
0,"(None, None)",1.27143
0,"(None, None)",1.28571
0,"(None, None)",1.30000
0,"(None, None)",1.31429
0,"(None, None)",1.32857
0,"(None, None)",1.34286
0,"(None, None)",1.35714
0,"(None, None)",1.37143
0,"(None, None)",1.38571
0,"(None, None)",1.40000
0,"(None, None)",1.41429
0,"(None, None)",1.42857
0,"(None, None)",1.44286
0,"(None, None)",1.45714
0,"(None, None)",1.47143
0,"(None, None)",1.48571
0,"(None, None)",1.50000
0,"(None, None)",1.51429
0,"(None, None)",1.52857
0,"(None, None)",1.54286
0,"(None, None)",1.55714
0,"(None, None)",1.57143
0,"(None, None)",1.58571
0,"(None, None)",1.60000
0,"(None, None)",1.61429
0,"(None, None)",1.62857
0,"(None, None)",1.64286
0,"(None, None)",1.65714
0,"(None, None)",1.67143
0,"(None, None)",1.68571
0,"(None, None)",1.70000
0,"(None, None)",1.71429
0,"(None, None)",1.72857
0,"(None, None)",1.74286
0,"(None, None)",1.75714
0,"(None, None)",1.77143
0,"(None, None)",1.78571
0,"(None, None)",1.80000
0,"(None, None)",1.81429
0,"(None, None)",1.82857
0,"(None, None)",1.84286
0,"(None, None)",1.85714
0,"(None, None)",1.87143
0,"(None, None)",1.88571
0,"(None, None)",1.90000
0,"(None, None)",1.91429
0,"(None, None)",1.92857
0,"(None, None)",1.94286
0,"(None, None)",1.95714
0,"(None, None)",1.97143
0,"(None, None)",1.98571
0,"(None, None)",2.00000
0,"(None, None)",2.01429
0,"(None, None)",2.02857
0,"(None, None)",2.04286
0,"(None, None)",2.05714
0,"(None, None)",2.07143
0,"(None, None)",2.08571
0,"(None, None)",2.10000
0,"(None, None)",2.11429
0,"(None, None)",2.12857
0,"(None, None)",2.14286
0,"(None, None)",2.15714
0,"(None, None)",2.17143
0,"(None, None)",2.18571
0,"(None, None)",2.20000
0,"(None, None)",2.21429
0,"(None, None)",2.22857
0,"(None, None)",2.24286
0,"(None, None)",2.25714
0,"(None, None)",2.27143
0,"(None, None)",2.28571
0,"(None, None)",2.30000
0,"(None, None)",2.31429
0,"(None, None)",2.32857
0,"(None, None)",2.34286
0,"(None, None)",2.35714
0,"(None, None)",2.37143
0,"(None, None)",2.38571
0,"(None, None)",2.40000
0,"(None, None)",2.41429
0,"(None, None)",2.42857
0,"(None, None)",2.44286
0,"(None, None)",2.45714
0,"(None, None)",2.47143
0,"(None, None)",2.48571
0,"(None, None)",2.50000
0,"(None, None)",2.51429
0,"(None, None)",2.52857
0,"(None, None)",2.54286
0,"(None, None)",2.55714
0,"(None, None)",2.57143
0,"(None, None)",2.58571
0,"(None, None)",2.60000
0,"(None, None)",2.61429
0,"(None, None)",2.62857
0,"(None, None)",2.64286
0,"(None, None)",2.65714
0,"(None, None)",2.67143
0,"(None, None)",2.68571
0,"(None, None)",2.70000
0,"(None, None)",2.71429
0,"(None, None)",2.72857
0,"(None, None)",2.74286
0,"(None, None)",2.75714
0,"(None, None)",2.77143
0,"(None, None)",2.78571
0,"(None, None)",2.80000
0,"(None, None)",2.81429
0,"(None, None)",2.82857
0,"(None, None)",2.84286
0,"(None, None)",2.85714
0,"(None, None)",2.87143
0,"(None, None)",2.88571
0,"(None, None)",2.90000
0,"(None, None)",2.91429
0,"(None, None)",2.92857
0,"(None, None)",2.94286
0,"(None, None)",2.95714
0,"(None, None)",2.97143
0,"(None, None)",2.98571
0,"(None, None)",3.00000
0,"(None, None)",3.01429
0,"(None, None)",3.02857
0,"(None, None)",3.04286
0,"(None, None)",3.05714
0,"(None, None)",3.07143
0,"(None, None)",3.08571
0,"(None, None)",3.10000
0,"(None, None)",3.11429
0,"(None, None)",3.12857
0,"(None, None)",3.14286
0,"(None, None)",3.15714
0,"(None, None)",3.17143
0,"(None, None)",3.18571
0,"(None, None)",3.20000
0,"(None, None)",3.21429
0,"(None, None)",3.22857
0,"(None, None)",3.24286
0,"(None, None)",3.25714
0,"(None, None)",3.27143
0,"(None, None)",3.28571
0,"(None, None)",3.30000
0,"(None, None)",3.31429
0,"(None, None)",3.32857
0,"(None, None)",3.34286
0,"(None, None)",3.35714
0,"(None, None)",3.37143
0,"(None, None)",3.38571
0,"(None, None)",3.40000
0,"(None, None)",3.41429
0,"(None, None)",3.42857
0,"(None, None)",3.44286
0,"(None, None)",3.45714
0,"(None, None)",3.47143
0,"(None, None)",3.48571
0,"(None, None)",3.50000
0,"(None, None)",3.51429
0,"(None, None)",3.52857
0,"(None, None)",3.54286
0,"(None, None)",3.55714
0,"(None, None)",3.57143
0,"(None, None)",3.58571
0,"(None, None)",3.60000
0,"(None, None)",3.61429
0,"(None, None)",3.62857
0,"(None, None)",3.64286
0,"(None, None)",3.65714
0,"(None, None)",3.67143
0,"(None, None)",3.68571
0,"(None, None)",3.70000
0,"(None, None)",3.71429
0,"(None, None)",3.72857
0,"(None, None)",3.74286
0,"(None, None)",3.75714
0,"(None, None)",3.77143
0,"(None, None)",3.78571
0,"(None, None)",3.80000
0,"(None, None)",3.81429
0,"(None, None)",3.82857
0,"(None, None)",3.84286
0,"(None, None)",3.85714
0,"(None, None)",3.87143
0,"(None, None)",3.88571
0,"(None, None)",3.90000
0,"(None, None)",3.91429
0,"(None, None)",3.92857
0,"(None, None)",3.94286
0,"(None, None)",3.95714
0,"(None, None)",3.97143
0,"(None, None)",3.98571
0,"(None, None)",4.00000
0,"(None, None)",4.01429
0,"(None, None)",4.02857
0,"(None, None)",4.04286
0,"(None, None)",4.05714
0,"(None, None)",4.07143
0,"(None, None)",4.08571
0,"(None, None)",4.10000
0,"(None, None)",4.11429
0,"(None, None)",4.12857
0,"(None, None)",4.14286
0,"(None, None)",4.15714
0,"(None, None)",4.17143
0,"(None, None)",4.18571
0,"(None, None)",4.20000
0,"(None, None)",4.21429
0,"(None, None)",4.22857
0,"(None, None)",4.24286
0,"(None, None)",4.25714
0,"(None, None)",4.27143
0,"(None, None)",4.28571
0,"(None, None)",4.30000
0,"(None, None)",4.31429
0,"(None, None)",4.32857
0,"(None, None)",4.34286
0,"(None, None)",4.35714
0,"(None, None)",4.37143
0,"(None, None)",4.38571
0,"(None, None)",4.40000
0,"(None, None)",4.41429
0,"(None, None)",4.42857
0,"(None, None)",4.44286
0,"(None, None)",4.45714
0,"(None, None)",4.47143
0,"(None, None)",4.48571
0,"(None, None)",4.50000
0,"(None, None)",4.51429
0,"(None, None)",4.52857
0,"(None, None)",4.54286
0,"(None, None)",4.55714
0,"(None, None)",4.57143
0,"(None, None)",4.58571
0,"(None, None)",4.60000
0,"(None, None)",4.61429
0,"(None, None)",4.62857
0,"(None, None)",4.64286
0,"(None, None)",4.65714
0,"(None, None)",4.67143
0,"(None, None)",4.68571
0,"(None, None)",4.70000
0,"(None, None)",4.71429
0,"(None, None)",4.72857
0,"(None, None)",4.74286
0,"(None, None)",4.75714
0,"(None, None)",4.77143
0,"(None, None)",4.78571
0,"(None, None)",4.80000
0,"(None, None)",4.81429
0,"(None, None)",4.82857
0,"(None, None)",4.84286
0,"(None, None)",4.85714
0,"(None, None)",4.87143
0,"(None, None)",4.88571
0,"(None, None)",4.90000
0,"(None, None)",4.91429
0,"(None, None)",4.92857
0,"(None, None)",4.94286
0,"(None, None)",4.95714
0,"(None, None)",4.97143
0,"(None, None)",4.98571
0,"(None, None)",5.00000
0,"(None, None)",5.01429
0,"(None, None)",5.02857
0,"(None, None)",5.04286
0,"(None, None)",5.05714
0,"(None, None)",5.07143
0,"(None, None)",5.08571
0,"(None, None)",5.10000
0,"(None, None)",5.11429
0,"(None, None)",5.12857
0,"(None, None)",5.14286
